ID   x     y     r     R      G      B    CIE_x CIE_y CIE_Luminance
 1   102   111   51  70.79 206.71  97.29  0.29  0.50  46.68
 2   304   118   52  75.92 222.02  93.71  0.30  0.52  54.58
 3    88   458   50  62.71 170.79 104.37  0.28  0.45  31.10
 4    95   276   51  42.62  72.08 141.46  0.20  0.17  7.09
 5   308   278   50  43.95  73.86 142.29  0.20  0.17  7.37
 6   493   121   51  72.52 207.99  99.83  0.29  0.50  47.42
 7   491   275   50  48.76 100.93 137.20  0.22  0.25  11.75
 8   307   462   49  65.09 171.20  98.51  0.28  0.47  31.22
 9   501   457   53  61.91 171.89 106.96  0.28  0.45  31.54
10   495   660   46  43.54  75.49 149.89  0.19  0.17  7.82
11   298   651   50  37.03  60.41 144.90  0.18  0.14  5.71
12    90   648   48  37.25  61.52 144.33  0.19  0.14  5.81
